cpv,dkpp,name
22851000-0,17.23.13-90.00,Швидкозшивачі
22900000-9,58.19.19-00.00,Матеріали друковані різні
39514200-0,13.92.14-30.00,Рушники чайні
30197621-5,32.99.53-00.00,Килимки для фліпчартів
30199130-0,17.12.76-00.00,Папір перебивний
22832000-1,17.23.13-30.00,Аркуші для записів
30192910-3,17.23.1,Плівка чи стрічка корегувальна
22500000-5,18.13.20,Форми друкарські та циліндри друкарські та інші носії для друкування
22853000-4,17.23.13-90.00,Швидкозшивачі
22112000-8,58.11.11-00.00,Книжки художні
30192127-7,32.99.14-10.00,Держателі для ручок
39292500-0,26.51.32-00.00,Лінійки
30192124-6,32.99.12-30.00,Фломастери
22114500-7,58.11.14-00.00,Енциклопедії
22852000-7,17.23.13-50.00,Папки
30192300-4,22.29.25-00.00,Стрічки копіювальні
22321000-6,58.19.11-00.00,Листівки новорічні та різдвяні
22140000-3,58.11.19-00.00,Рекламні проспекти
22412000-1,58.19.14-00.00,Марки нові
39800000-0,20.41.43,Продукція для очищування та полірування
22816200-5,17.23.13-15.00,Блокноти для скоропису
30192350-9,22.29.25-00.00,Стрічки для апаратів касових
39224300-1,32.91.11-50.00,Мітли та щітки й інші вироби для прибирання будинку
33770000-8,17.22.11-80.00,Папір санітарний
33735200-3,32.50.42-90.00,Оправи та кріплення до захисних окулярів
30192340-6,22.29.25-00.00,Стрічки факсимільні
30192330-3,22.29.25-00.00,Стрічки та барабани для лічильників
30194300-8,26.51.32-00.00,"Набори, комплекти та папір для креслення"
30199330-2,17.23.14-00.00,Папір у вигляді неперервної стрічки до комп'ютерних принтерів
33742000-3,25.71.13-50.00,Продукція для догляду за нігтями
30194400-9,26.51.32-00.00,Накривки для столів креслярські
30191400-8,28.23.23-00.00,Машини для подрібнювання паперу
30192200-3,22.29.25-00.00,Рулетки
30197640-4,17.12.76-00.00,Папір самокопіювальний та інший копіювальний папір
30197200-8,17.21.15-50.00,Швидкозшивачі з кільцями та скріпки
22510000-8,18.13.20-00.00,Форми офсетні
30195920-7,32.99.16-10.00,Дошки магнітні
30194900-4,26.51.32-00.00,Накривки захисні для поверхні деревини
39831230-7,20.41.32-50.00,Розчинники жирів
30197643-5,17.12.76-00.00,Папір фотокопіювальний
39812400-1,20.41.32-50.00,Суміші для прибирання
39831600-2,20.41.32-50.00,Засоби чищення для туалету
22310000-6,58.19.11-00.00,Картки поштові
39831250-3,20.41.32-50.00,Розчини для ополіскування
24911000-3,20.59.60-80.00,Желатини
24900000-3,20.59.5,Продукція тонкого хімічного синтезу та продукція хімічна різноманітна
22211100-3,58.14.12-00.00,Журнали офісні
22470000-5,58.11.12-00.00,Настанови
42122160-9,28.29.12-30.00,Помпи охолоджувальні
30192121-5,32.99.12-10.00,Ручки кулькові
22816100-4,17.23.13-15.00,Блокноти
39832100-4,20.41.32-50.00,Порошок для миття посуду
39292400-9,32.99.14-10.00,Приладдя для писання
39831700-3,20.41.32-50.00,Дозатори для мила автоматичні
30199711-7,17.23.12-30.00,Конверти друковані з адресним віконцем
30194220-3,26.51.32-00.00,Плівки креслярські
22471000-2,58.11.12-00.00,Настанови для користувачів комп'ютерів
22992000-0,17.12.12-00.00,Папір та картон ручного виготовляння
30195900-1,32.99.16-10.00,Дошки білі для писання маркерами та дошки магнітні
39831210-1,20.41.32-50.00,Детергенти для посудомийних машин
33740000-9,20.42.15-00.00,Продукція для догляду за руками та нігтями
30197320-5,28.23.23-00.00,Степлери
30199500-5,17.21.15-50.00,"Сегрегатори, лотки на листи, ящики для зберігання та аналогічні вироби"
39812300-0,20.41.43,Воски полірувальні
39224100-9,32.91.11-10.00,Мітли
30197620-8,17.12.14-39.00,Папір для писання
30197645-9,17.12.77-80.00,Картки поліграфічні
22411000-4,58.19.14-00.00,Марки новорічні та різдвяні
30192110-5,32.99.16-30.00,Вироби чорнильні
22610000-9,20.30.24,Фарба друкарська
30193300-1,17.21.15-50.00,Органайзери підвісні
30194820-9,26.51.32-00.00,Трикутники
22993400-1,17.12.13-00.00,Папір чи картон гофровані
30195921-4,32.99.16-10.00,Гумки для дощок магнітних
22314000-4,58.19.12-00.00,Кресленики
41000000-9,20.13.52-50.00,Вода зібрана та очищена
39224000-8,32.91.11,Мітли та щітки й інші вироби різних типів
39330000-4,20.20.14,устаткування дезінфікувальне
22814000-9,17.23.13-13.00,Квитанції
22120000-7,58.11.19-00.00,Видання
22450000-9,58.19.19-00.00,"Вироби друковані, захищені від фальсифікації"
30192154-5,32.99.16-50.00,Подушки для штампів змінні
22111000-1,58.11.11-00.00,Книжки шкільні
30191110-8,25.99.22-00.00,Системи обертові картотечні
30197641-1,17.12.77-80.00,Папір термографічний
30197642-8,17.12.76-00.00,Папір фотокопіювальний та ксерографічний
30197221-1,25.99.23-70.00,Тримачі для паперів
30192940-2,17.23.1,Картриджі для ручки-коректора
22320000-9,58.19.11-00.00,Листівки вітальні
33742100-4,25.71.13-50.00,Кусачки манікюрні та педикюрні
30199780-1,17.23.1,Бювари
22430000-3,58.19.19-00.00,Банкноти
39291000-8,"22.29.23-50.00,27.51.13-00.00",Приладдя для прання
30197220-4,25.99.23-70.00,Скріпки
22211000-2,58.14.11-00.00,Видання щоденні
30192153-8,32.99.16-30.00,Штампи із фразовим набором
30193200-0,17.23.1,Лотки та організатори настільні
39811110-4,22.29.23-50.00,Диспенсери-освіжувачі повітря
33760000-5,17.22.11,"Папір туалетний, носові хусточки, рушники для витирання рук і серветки"
22420000-0,58.19.19-00.00,Папір з водяними знаками
30193400-2,17.21.15-50.00,Закладини книжні
22114311-5,71.11.10-00.00,Світлокопії
30199600-6,17.21.15-50.00,Розділювачі канцелярські
22990000-6,58.19.19-00.00,"Папір газетний, папір ручного виготовляння та інший папір і картон для графічних робіт"
33741100-7,20.42.15-00.00,Засоби для миття рук
30192150-7,32.99.16-30.00,Штемпелі для датування
30192113-6,32.99.16-70.00,Картриджі чорнильні
22300000-3,58.19.11,"Картки поштові, вітальні листівки та інша друкована продукція"
30195600-8,32.99.16-10.00,Дошки для об'яв та комплектуючі
22993100-8,17.12.13-00.00,Папір-основа та картон-основа фоточутливі
30197321-2,28.23.23-00.00,Засоби видалення скоб
33771100-6,17.22.11,Рушники і тампони гігієнічні
39810000-3,20.41.43-30.00,Препарати та воски пахучі
30192000-1,32,Приладдя офісне
22800000-8,17.23.13,"Журнали реєстраційні, бухгалтерські книги, швидкозшивачі, формуляри та інші друковані вироби, паперові та картонні"
30195000-2,32.99.16-10.00,Дошки
30195700-9,32.99.16-10.00,Набори чи приладдя для чищення дощок
30196100-0,17.23.13-15.00,Планувальники зустрічей
22440000-6,58.19.19-00.00,Бланки чекові
39292100-6,32.99.16-10.00,Дошки для класів
30193500-3,17.21.15-50.00,Стенд для літератури
22816000-3,17.23.13-15.00,Блокноти
39812500-2,20.41.32-50.00,Речовини ущільнювальні; ущільнювачі
30192170-3,22.29.25-00.00,Дошки для повідомлень
30199110-4,17.12.76-00.00,Папір копіювальний
22113000-5,58.11.12-00.00,Книжки бібліотечні
30197110-0,25.99.23-50.00,Скоби
30194700-2,26.51.32-00.00,Шаблони
39514100-9,13.92.14-30.00,Рушники
33741200-8,20.42.17.00.00,Лосьйони для рук та тіла
30197610-5,17.23.14-00.00,Папір та картон скомбіновані
39821000-3,20.41.32-50.00,Очищувачі аміачні
39514300-1,13.92.14-30.00,Рушники рулонні
39224200-0,32.91.11-10.00,Щітки
39834000-7,20.41.32-50.00,Розчини очищувальні для виробів ювелірних
22457000-8,58.19.19-00.00,Перепустки
39224340-3,22.29.23-50.00,Контейнери для сміття
30199340-5,17.23.14-00.00,Форми нерозрізні
30192151-4,32.99.16-30.00,Штампи для пломбування
30193700-5,17.21.15-50.00,Коробка для зберігання файлів
22462000-6,58.14.12-00.00,Матеріали рекламні
