cpv,cav,name
39221190-5,39221190-5,Стелажі для тарілок
39254110-1,39254110-1,Будильники
34121200-3,34121200-3,Двосекційні автобуси
42641200-3,42641200-3,Верстати для обробки кераміки
32333200-8,32333200-8,Камкодери
30232120-1,30232120-1,Матричні принтери
34924000-0,34924000-0,Динамічні інформаційні табло
32426000-5,32426000-5,Мережеві видавничі системи
39144000-3,39144000-3,Меблі для ванної кімнати
42214200-1,42214200-1,Сушарки для сільськогосподарських продуктів
42996700-1,42996700-1,Осаджувачі
39831240-0,39831240-0,Засоби для чищення
42122130-0,42122130-7,Водяні насоси
42962200-9,42962200-9,Друкарські верстати
34946122-1,34946122-1,Контррейки
34514900-2,34514900-2,Бурові платформи
42124130-4,42124130-1,Частини пневматичних двигунів
42131220-4,42131220-1,Засувки шлюзові
32400000-7,32400000-7,Мережі
34946231-8,34946231-8,Рейкові клеми
39831300-9,39831300-9,Засоби для миття підлоги
32354600-5,32354600-5,Відеокасети
30237440-5,30237440-5,Трекболи
34731300-3,34731300-3,Турбогвинтові двигуни
30192600-7,30192600-7,Креслярські дошки
34350000-5,34350000-5,Шини для транспортних засобів великої та малої тоннажності
42652000-1,42652000-1,Електромеханічні ручні інструменти
42921310-4,42921310-4,Стрічкообв’язувальні машини
42512000-8,42512000-8,Установки для кондиціювання повітря
34144410-5,34144410-5,Автоцистерни для відкачування каналізаційних стоків
39143123-4,39143123-4,Нічні столики
42924740-8,42924740-8,Очисні апарати високого тиску
42923230-3,42923230-3,Контрольні ваги
30199790-4,30199790-4,Розклади
32210000-8,32210000-8,Обладнання для телерадіомовлення
42124310-0,42124310-7,Частини повітряних насосів
42940000-7,42940000-7,Машини для термічної обробки матеріалів
34321100-4,34321100-4,Осі
32552600-3,32552600-3,Домофони
32332200-1,32332200-1,Телефонні автовідповідачі
39711124-4,39711124-4,Промислові морозильні камери
32324300-3,32324300-3,Телевізійне обладнання
30197330-8,30197330-8,Діроколи
32552150-3,32552150-3,Телефони для осіб із вадами зору
30210000-4,30210000-4,Машини для обробки даних (апаратна частина)
39711360-0,39711360-0,Печі
39522120-4,39522120-4,Тенти
30191110-8,30191110-8,Обертові картотеки
39299300-7,39299300-7,Скляні дзеркала
34968000-0,34968000-0,Аеропортові системи спостереження та освітлення
34999000-6,34999000-6,"Генератори сигналів, розподільники антенних сигналів та установки для нанесення гальванічного покриття"
34138000-3,34138000-3,Автотягачі
30236100-3,30236100-3,Пристрої для розширення об’єму пам’яті
42942200-3,42942200-3,Вакуумні печі
42113160-3,42113160-0,Вологовідділювачі
34144220-6,34144220-6,Транспортні засоби аварiйно-ремонтного призначення
42122420-0,42122420-7,Підіймачі рідин
39541000-6,39541000-6,"Канати, мотузки, шпагати та сітки"
42124230-5,42124230-2,Частини роторних нагнітачів
34522700-9,34522700-9,Водні велосипеди
30121100-4,30121100-4,Фотокопіювальні пристрої
34931300-5,34931300-5,Суднові пересувні трапи
30194310-1,30194310-1,Набори або комплекти для креслення
30191140-7,30191140-7,Аксесуари для особистої ідентифікації
30124530-8,30124530-8,Слайд-адаптери для сканерів
42943210-3,42943210-3,Занурювані термостати
34996200-7,34996200-7,"Регулювальне, запобіжне чи сигнальне обладнання для внутрішніх водних шляхів"
39221240-1,39221240-1,Миски
39711120-6,39711120-6,Морозильні камери
34144510-6,34144510-6,Сміттєвози
34390000-7,34390000-7,Приладдя до тракторів
30192133-2,30192133-2,Точила для олівців
42222000-8,42222000-8,Частини машин для виробництва напоїв
42968100-0,42968100-0,Дозатори напоїв
42152200-1,42152200-8,Деталі корпусів ядерних реакторів
39522200-9,39522200-9,Маскувальні сітки
16540000-2,16540000-2,Сільськогосподарські розвантажувальні напівпричепи
30216100-7,30216100-7,Оптичні зчитувальні пристрої
30123200-9,30123200-9,Банкомати
42961200-2,42961200-2,Системи диспетчерського керування та збору даних (SCADA) чи еквівалентні системи
30195910-4,30195910-4,Дошки для маркерів
42718000-2,42718000-2,Устаткування для апретування тканин
42912340-7,42912340-7,Опріснювальні апарати
30199710-0,30199710-0,Фірмові конверти
30192122-2,30192122-2,Перові ручки
32323500-8,32323500-8,Системи відеоспостереження
39293000-2,39293000-2,Штучні вироби
30237121-3,30237121-3,Послідовні інфрачервоні порти
34310000-3,34310000-3,Двигуни та їх частини
30237251-3,30237251-3,Набори для очищення комп’ютерного обладнання
42965110-2,42965110-2,Складські системи
30233300-4,30233300-4,Зчитувачі смарт-карток
32342000-2,32342000-2,Гучномовці
34133000-8,34133000-8,Автопоїзди
32352200-7,32352200-7,Запасні частини та приладдя до радіолокаторів
34913100-1,34913100-1,"Шини, що були у використанні"
39192000-4,39192000-4,Настінні покриття на текстильній основі
42511200-3,42511200-3,Обладнання для скраплення повітря чи інших газів
42416120-2,42416120-2,Вантажопідіймачі
30234600-4,30234600-4,Флеш-пам’ять
34312200-9,34312200-9,Свічки запалювання
30233190-9,30233190-9,Дискові контролери
30195300-5,30195300-5,Набірне табло чи приладдя
39711362-4,39711362-4,Мікрохвильові печі
39722200-1,39722200-1,Частини кухонних плит
34144800-6,34144800-6,Житлові фургони
34741400-7,34741400-7,Авіасимулятори
39522540-4,39522540-4,Спальні мішки
39715210-2,39715210-2,Обладнання для центрального опалення
32412100-5,32412100-5,Телекомунікаційні мережі
39299100-5,39299100-5,Скляні ампули
39722000-9,39722000-9,"Частини печей, кухонних плит, підігрівачів тарілок та інших побутових приладів"
30197000-6,30197000-6,Дрібне канцелярське приладдя
30232600-0,30232600-0,Кодери
30237260-9,30237260-9,Настінні кронштейни для моніторів
34969000-7,34969000-7,Літакові телескопічні та пересувні трапи
34114200-1,34114200-1,Поліцейські автомобілі
30192310-7,30192310-7,Стрічка для друкарських машинок
30234300-1,30234300-1,Компакт-диски (CD)
16110000-9,16110000-9,Плуги чи дискові борони
34513250-3,34513250-3,Драги
42123100-8,42123100-5,Газові компресори
42419000-6,42419000-6,Частини підіймально-транспортувального обладнання
39711330-1,39711330-1,Електричні тостери
42997300-4,42997300-4,Промислові роботи
34965000-9,34965000-9,Всебічно направлений далекомірний радіомаяк
42913500-4,42913500-4,Повітрозабірні фільтри
39131100-0,39131100-0,Архівні стелажі
42414210-6,42414210-6,Пересувні крани
30199100-1,30199100-1,"Копіювальний та самокопіювальний папір, папір для трафаретного друку та перебивний папір"
42122100-1,42122100-8,Насоси для рідин
42995200-9,42995200-9,Машини для прибирання пляжів
39140000-5,39140000-5,Меблі для дому
39224330-0,39224330-0,Відра
32411000-7,32411000-7,Кільцеві мережа з маркерним доступом
39156000-0,39156000-0,Меблі для кімнат очікування і приймалень
34144420-8,34144420-8,Автомобілі для розсипання солі
34522400-6,34522400-6,Напівтверді шлюпки
39563400-0,39563400-0,Текстильні матеріали просочені чи із захисним покриттям
34722000-4,34722000-4,Аеростати та дирижаблі
39712210-1,39712210-1,Фени
42532000-4,42532000-4,Частини морозильного обладнання
42943500-3,42943500-3,Рециркуляційні охолоджувачі
30195911-1,30195911-1,Приладдя до дощок для маркерів
34999420-6,34999420-6,Масштабовані моделі суден
42712000-0,42712000-0,Прядильні машини
39811000-0,39811000-0,Засоби для ароматизації та дезодорування приміщень
42612000-9,42612000-9,Обробні центри
39293500-7,39293500-7,Біжутерія
30171000-8,30171000-8,Машини для датування чи нумерування
42994200-2,42994200-2,Машини для обробки пластмас
42419890-1,42419890-1,Частини ківшових конвеєрів
39221210-2,39221210-2,Тарілки
42223000-5,42223000-5,Частини машин для обробки тютюну
34521300-8,34521300-8,Поліцейські патрульні катери
39533000-7,39533000-7,Килими
42417220-0,42417220-0,Стрічкові елеватори чи конвеєри безперервної дії
32344270-9,32344270-9,Системи радіокерування і телефонного контролю
34114110-3,34114110-3,Рятувальні транспортні засоби
30216300-9,30216300-9,Зчитувачі перфокарт
39294100-0,39294100-0,Інформаційна та рекламна продукція
34144750-0,34144750-0,Вантажоперевізні транспортні засоби
42131000-6,42131000-3,"Крани, вентилі та клапани"
39226200-4,39226200-4,Бутлі та фляги
32342440-8,32342440-8,Системи голосової пошти
30233160-0,30233160-0,Стрічкові накопичувачі (стримери)
32410000-0,32410000-0,Локальні мережі
39522510-5,39522510-5,Надувні матраци
39715240-1,39715240-1,Електроприлади для обігріву приміщень
39516000-2,39516000-2,Предмети декору
34328200-4,34328200-4,Набори для переобладнання автомобіля
34113200-4,34113200-4,Мотовсюдиходи
34926000-4,34926000-4,Контрольне обладнання для автомобільних стоянок
34512900-8,34512900-8,Судна-автомобілевози
42943710-8,42943710-8,Кришки для ванн
34130000-7,34130000-7,Мототранспортні вантажні засоби
30214000-2,30214000-2,Робочі станції
39221150-3,39221150-3,Термоси
30236122-3,30236122-3,Програмовані постійні запам’ятовувальні пристрої з можливістю перезапису (EPROM)
42650000-7,42650000-7,Ручні інструменти пневматичні чи моторизовані
34513650-7,34513650-7,Пожежні судна
42920000-1,42920000-1,"Машини для миття пляшок, пакування, зважування та розпилювання"
39298500-2,39298500-2,Оздоби
32442200-5,32442200-5,Кабельні муфти
39715100-8,39715100-8,Проточні чи акумуляційні водонагрівачі та занурювані електричні нагрівачі
34622200-5,34622200-5,Залізничні пасажирські вагони
42671000-0,42671000-0,Тримачі для інструментів
42415320-7,42415320-7,Обладнання для аварійно-ремонтних машин
39292500-0,39292500-0,Лінійки
34928340-3,34928340-3,Снігові щити
42123610-6,42123610-3,Компресорні блоки
30192124-6,30192124-6,Фломастери
30233150-7,30233150-7,Оптичні накопичувачі
42141130-9,42141130-6,Колінчасті вали
39293400-6,39293400-6,Штучні газони
30192300-4,30192300-4,Фарбувальна стрічка
32223000-2,32223000-2,Апаратура для передавання відеосигналу
39143114-8,39143114-8,Електричні ковдри
32323400-7,32323400-7,Відеовідтворювальне обладнання
39154000-6,39154000-6,Виставкове обладнання
39122200-5,39122200-5,Книжкові шафи
39312100-3,39312100-3,М’ясорізки
42974000-4,42974000-4,Частини пакувальних машин
34932000-9,34932000-9,Радіолокаційні системи
30192350-9,30192350-9,Касова стрічка
16611100-2,16611100-2,Машини для очищення яєць
32323100-4,32323100-4,Кольорові відеомонітори
30199310-6,30199310-6,Тиснений або перфорований папір для друку
16520000-6,16520000-6,Сільськогосподарські розвантажувальні причепи
32321100-0,32321100-0,Кіноапаратура
30176000-3,30176000-3,Стрічкові принтери
39525100-9,39525100-9,Ганчірки для витирання пилу
16100000-6,16100000-6,Сільськогосподарські та лісогосподарські машини для підготовки або обробки ґрунту
42162000-2,42162000-9,Парові котли
30170000-1,30170000-1,Етикетувальні машини
34632300-9,34632300-9,Електричні установки для залізничних доріг
42113110-8,42113110-5,Опорні плити
42131310-2,42131310-9,Фонтанна арматура
34929000-5,34929000-5,Матеріали для автодорожнього будівництва
39515440-1,39515440-1,Вертикальні жалюзі
32240000-7,32240000-7,Телевізійні камери
30177000-0,30177000-0,Автоматичні маркувальні системи
34951300-1,34951300-1,Установки для висушування мулу
34928430-1,34928430-1,Семафори
30144400-4,30144400-4,Системи автоматизованого продажу засобів оплати проїзду
39531300-6,39531300-6,Тафтингові килими
42124340-9,42124340-6,Частини газових компресорів
30232700-1,30232700-1,Центральний блок керування
39810000-3,39810000-3,Ароматизатори та воски
32524000-2,32524000-2,Телекомунікаційні системи
42642500-3,42642500-3,Верстати для обробки твердих пластмас
34370000-1,34370000-1,Сидіння для мототранспортних засобів
30237380-6,30237380-6,Компакт-диски без можливості перезапису (CD-ROM)
39531310-9,39531310-9,Килимова плитка
34611000-3,34611000-3,Локомотиви
42531000-7,42531000-7,Частини холодильного обладнання
32332300-2,32332300-2,Звукозаписувальні пристрої
42132000-3,42132000-0,Частини кранів та клапанів
34968100-1,34968100-1,Аеропортові системи спостереження
39713300-6,39713300-6,Ущільнювачі побутового сміття
39831250-3,39831250-3,Промивальні розчини
39132100-7,39132100-7,Пенали-картотеки
39263000-3,39263000-3,Канцелярське приладдя
34928510-6,34928510-6,Опори для вуличного освітлення
39143112-4,39143112-4,Матраци
34911000-6,34911000-6,"Гужові та ручні вози, інші транспортні засоби з немеханічним приводом"
34514000-3,34514000-3,Плавучі чи занурювані бурові чи промислові платформи
42991210-4,42991210-4,Офсетні друкарські машини
42612200-1,42612200-1,Обробні центри з вертикальним шпинделем
42131170-8,42131170-5,Випускні вентилі газових балонів
30123400-1,30123400-1,Фальцювальні апарати
32237000-3,32237000-3,Портативні радіостанції
34324000-4,34324000-4,"Колеса, частини та приладдя до них"
30237475-9,30237475-9,Електричні сенсори
32571000-6,32571000-6,Комунікаційні інфраструктури
39130000-2,39130000-2,Офісні меблі
39190000-0,39190000-0,Шпалери та інші настінні покриття
30194220-3,30194220-3,Креслярська плівка
30141100-0,30141100-0,Кишенькові калькулятори
39711420-9,39711420-9,Варильні поверхні
39241000-3,39241000-3,Ножі та ножиці
42122180-5,42122180-2,Паливні насоси
42800000-4,42800000-4,Машини для виробництва паперу чи картону
42122230-1,42122230-8,Дозувальні насоси
32561000-3,32561000-3,Оптоволоконні з’єднувачі
30121430-6,30121430-6,Цифрові дуплікатори
42996100-5,42996100-5,Подрібнювачі твердих частинок у стічних водах
32441300-9,32441300-9,Телематичні системи
39221120-4,39221120-4,Чашки та склянки
42113172-0,42113172-7,Лопаті
42975000-1,42975000-1,Частини обгортальних машин
16810000-6,16810000-6,Частини для сільськогосподарської техніки
42514320-1,42514320-1,Газові фільтри
42931120-8,42931120-8,Настільні центрифуги
34522100-3,34522100-3,Вітрильні човни
39822000-0,39822000-0,Каустичні очищувачі
30213300-8,30213300-8,Настільні комп’ютери
39236000-5,39236000-5,Фарбувальні кабіни
42715000-1,42715000-1,Швейні машини
32344110-0,32344110-0,Системи запису телефонних розмов
34741100-4,34741100-4,Пускове обладнання для повітряних літальних апаратів
42713000-7,42713000-7,Ткацькі верстати
34114120-6,34114120-6,Санітарні транспортні засоби
39110000-6,39110000-6,"Сидіння, стільці та супутні вироби і частини до них"
30194820-9,30194820-9,Косинці
30232130-4,30232130-4,Кольорові графічні принтери
42419800-4,42419800-4,Частини конвеєрів
30237450-8,30237450-8,Графічні планшети
30237300-2,30237300-2,Комп’ютерне приладдя
30195921-4,30195921-4,Гумки для магнітних дощок
32422000-7,32422000-7,Мережеві компоненти
42664100-9,42664100-9,Обладнання для сплавлення пластмас
34515100-1,34515100-1,Маркерні буї
42165000-3,42165000-0,Пароконденсатори
30234400-2,30234400-2,Універсальні цифрові диски (DVD)
32442000-3,32442000-3,Термінальне обладнання
34139200-2,34139200-2,Шасі для кузова
30199220-8,30199220-8,Неілюстровані поштові листівки
39525600-4,39525600-4,Посудні рушники
42131290-5,42131290-2,Мембранні клапани
30192940-2,30192940-2,Картриджі до ручки-коректора
30213100-6,30213100-6,Портативні комп’ютери
42930000-4,42930000-4,"Центрифуги, вальцювальні машини чи торгові автомати"
34121300-4,34121300-4,Двоповерхові автобуси
42142000-6,42142000-3,Частини зубчастих передач і приводних елементів
39340000-7,39340000-7,Обладнання для газових мереж
32324500-5,32324500-5,Відеотюнери
34121400-5,34121400-5,Низькопідлогові автобуси
39113700-4,39113700-4,Підставки для ніг
32581200-1,32581200-1,Факсимільне обладнання
34928100-9,34928100-9,Бар’єрні огорожі
42215300-9,42215300-9,Машини для виготовлення макаронних виробів
42419200-8,42419200-8,Частини авто маніпуляторів
34712000-1,34712000-1,"Космічні літальні апарати, супутники та ракетоносії"
30144100-1,30144100-1,Поштові штемпелювальні пристрої
39237000-2,39237000-2,Снігомірні рейки
34521000-5,34521000-5,Човни спеціального призначення
42677000-2,42677000-2,Частини пневматичних інструментів
42513210-0,42513210-0,Холодильні вітрини
34928320-7,34928320-7,Колесовідбійні бруси
34325000-1,34325000-1,Глушники та вихлопні труби
34114121-3,34114121-3,Автомобілі швидкої допомоги
32353200-4,32353200-4,Музичні касети
30213400-9,30213400-9,Центральні процесорні пристрої для персональних комп’ютерів
39811300-3,39811300-3,Дезодоратори
30216120-3,30216120-3,Пристрої для оптичного розпізнавання символів
30192113-6,30192113-6,Чорнильні картриджі
39550000-2,39550000-2,Вироби з нетканих матеріалів
42810000-7,42810000-7,Частини машин для виробництва паперу чи картону
42419900-5,42419900-5,Частини лебідок та іншого підіймально-транспортувального обладнання
32552110-1,32552110-1,Бездротові телефони
39135100-8,39135100-8,Стелажі-органайзери
34144500-3,34144500-3,Сміттєвози та асенізаційні машини
42418000-9,42418000-9,"Машини та механізми для підіймання, переміщення, завантаження чи розвантаження"
42943200-0,42943200-0,Ультразвукові ванни
34352200-1,34352200-1,Шини для автобусів
34114122-0,34114122-0,Транспортні засоби для перевезення пацієнтів
39292400-9,39292400-9,Письмове приладдя
42160000-8,42160000-5,Котельні установки
39713420-3,39713420-3,Підлогонатирачі
42111000-0,42111000-7,Мотори
32531000-4,32531000-4,Обладнання супутникового зв’язку
34327100-6,34327100-6,Керма
34955000-6,34955000-6,Плавучі доки
42621000-5,42621000-5,Токарні верстати
32533000-8,32533000-8,Супутникові наземні станції
39292100-6,39292100-6,Класні дошки
30193500-3,30193500-3,Стелажі для літератури
34913500-5,34913500-5,Автомобільні замки
32562100-1,32562100-1,Оптоволоконні кабелі для передачі інформації
42131320-5,42131320-2,Штуцерні маніфольди
42913300-2,42913300-2,Оливні фільтри
30237131-6,30237131-6,Електронні плати
30197110-0,30197110-0,Скоби
42924730-5,42924730-5,Апарати для миття водою під тиском
42122300-3,42122300-0,Гідравлічні мультиплікатори
34360000-8,34360000-8,Сидіння для пасажирських літаків
34221300-5,34221300-5,Пересувні пункти оперативного реагування на хімічні аварії
30233131-8,30233131-8,Накопичувачі на гнучких магнітних дисках
32331100-3,32331100-3,Програвачі грамофонних платівок
30233310-7,30233310-7,Зчитувачі відбитків пальців
42320000-5,42320000-5,Сміттєспалювальні печі
30133000-0,30133000-0,Обладнання для автоматичної обробки письмової кореспонденції
34131000-4,34131000-4,Пікапи
32342410-9,32342410-9,Звукове обладнання
34136100-0,34136100-0,Мініфургони
39715000-7,39715000-7,Водонагрівачі та центральні системи опалення; санітарна техніка
39298400-1,39298400-1,Статуетки
39220000-0,39220000-0,"Кухонне приладдя, товари для дому та господарства і приладдя для закладів громадського харчування"
42991300-2,42991300-2,Фотонабірні системи
42415000-8,42415000-8,"Вилкові автонавантажувачі, автоманіпулятори, тягачі для обслуговування залізничних станцій"
30236112-0,30236112-0,Статичні оперативні запам’ятовувальні пристрої (SRAM)
34963000-5,34963000-5,Системи інструментальної посадки літаків
30237350-7,30237350-7,Картриджі даних
42416110-9,42416110-9,Крісла-ліфти для ванн
30237135-4,30237135-4,Мережеві адаптери
42414120-8,42414120-8,Причальні крани
42113100-5,42113100-2,Частини парових турбін
34521200-7,34521200-7,Патрульні катери митних служб
39222000-4,39222000-4,Приладдя для закладів громадського харчування
34513000-6,34513000-6,"Риболовні, рятувальні та інші спеціальні судна"
39224320-7,39224320-7,Губки
42675000-8,42675000-8,Частини та приладдя до верстатів для обробки твердих матеріалів
32412110-8,32412110-8,Мережа Інтернет
32360000-4,32360000-4,Переговорне обладнання
34631300-2,34631300-2,Сидіння для рейкового рухомого складу
32552100-8,32552100-8,Телефони
39225600-1,39225600-1,Свічки
39831400-0,39831400-0,Засоби для очищення екранів
42998000-8,42998000-8,Системи автоматизованої подачі піддонів
30193900-7,30193900-7,Пюпітри для документів
30237230-0,30237230-0,Пристрої кеш-пам’яті
34946000-0,34946000-0,Конструкційні матеріали та приладдя для залізничних колій
32333000-6,32333000-6,Апаратура для відеозапису та відео відтворення
30192155-2,30192155-2,Офісні підставки для печаток і штампів
34328300-5,34328300-5,Паси безпеки
39516100-3,39516100-3,Текстильні предмети декору
39360000-3,39360000-3,Пломбувальне обладнання
32442400-7,32442400-7,Термінальні блоки
42968200-1,42968200-1,Диспенсери засобів гігієни
42124221-9,42124221-6,Частини гідравлічних агрегатів
42416300-8,42416300-8,Підіймачі
39531400-7,39531400-7,Ковроліни
42418920-4,42418920-4,Розвантажувальне обладнання
34322500-5,34322500-5,Гальмові колодки (барабанні)
32421000-0,32421000-0,Мережеві кабелі
32551400-4,32551400-4,Телефонні мережі
34144710-8,34144710-8,Кар’єрні навантажувачі
39173000-5,39173000-5,Складські меблі
34510000-5,34510000-5,Судна
32343200-1,32343200-1,Мегафони
42414200-3,42414200-3,Крани-балки
42122110-4,42122110-1,Насоси для пожежогасіння
39563200-8,39563200-8,Металізовані пряжі
34934000-3,34934000-3,Гребні гвинти
42923100-3,42923100-3,Зважувальні машини
30131200-8,30131200-8,Автомати для розкладання у конверти
32430000-6,32430000-6,Глобальні мережі
42417230-3,42417230-3,Армовані шахтні конвеєри
42661200-9,42661200-9,Обладнання для паяння твердим припоєм
16510000-3,16510000-3,Сільськогосподарські самонавантажувальні причепи
30122000-0,30122000-0,Офісна техніка для офсетного друку
39711400-3,39711400-3,"Жаровні, варильні поверхні, конфорки та електричні плити"
42514000-2,42514000-2,Машини та апарати для фільтрування чи очищення газів
30141200-1,30141200-1,Настільні калькулятори
42717000-5,42717000-5,Обладнання для прасування та складання білизни
32200000-5,32200000-5,"Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення"
39561100-3,39561100-3,Вузькі тканини; оздоблювальні матеріали
34144430-1,34144430-1,Підмітально-прибиральні машини
42340000-1,42340000-1,Печі непобутового призначення
34928472-7,34928472-7,Стовпи-вказівники
42530000-0,42530000-0,Частини холодильного та морозильного обладнання і теплових насосів
34324100-5,34324100-5,Обладнання для балансування коліс
42113310-0,42113310-7,Системи впуску повітря
42131148-5,42131148-2,Запірні клапани
39298800-5,39298800-5,Акваріуми
42642000-8,42642000-8,"Верстати для обробки деревини, кістки, корку, ебоніту чи твердих пластмас"
30131800-4,30131800-4,Пристрої для наклеювання марок
42716000-8,42716000-8,"Пральні машини, машини для сухого чищення та сушильні машини"
39722100-0,39722100-0,Частини печей
42714000-4,42714000-4,В’язальні машини
34621000-6,34621000-6,Транспортні засоби для ремонту чи обслуговування залізничних доріг та вантажні залізничні вагони
42124100-5,42124100-2,Частини двигунів або моторів
30192154-5,30192154-5,Змінні подушки для штампів
34513600-2,34513600-2,Очисні судна
39295500-1,39295500-1,"Деталі, оздоблення та аксесуари до парасоль від сонця та дощу, ціпків і подібних виробів"
42952000-4,42952000-4,Частини центрифуг
30237420-9,30237420-9,Джойстики
30232140-7,30232140-7,Плотери
34928220-6,34928220-6,Частини огорожі
34928460-0,34928460-0,Дорожні конуси
39143122-7,39143122-7,Комоди
34955100-7,34955100-7,Плавучі нафтосховища
32344260-6,32344260-6,Радіо- та мультиплексне обладнання
42637100-1,42637100-1,Верстати для свердління металів
30192130-1,30192130-1,Олівці
34223320-5,34223320-5,Причепи для перевезення коней
39113600-3,39113600-3,Лавки
42141600-5,42141600-2,Талі
30199760-5,30199760-5,Етикетки
39221220-5,39221220-5,Блюда
32552330-9,32552330-9,Телефонні комутаційні апарати
42637000-0,42637000-0,"Верстати для свердління, розточування чи фрезерування металів"
39226210-7,39226210-7,Бутлі
42513220-3,42513220-3,Холодильні прилавки
39561141-2,39561141-2,Плетена тасьма
34111200-0,34111200-0,Легкові автомобілі типу «седан»
39298100-8,39298100-8,Рамки для фотографій
39313000-9,39313000-9,Готельне обладнання
30179000-4,30179000-4,Диспенсери етикеток
34962210-3,34962210-3,Симулятори систем керування повітряним рухом
34144212-7,34144212-7,Пожежні автоцистерни
30199210-5,30199210-5,Поштові листівки
34947000-7,34947000-7,Шпали та частини шпал
39512600-0,39512600-0,Наволочки для подушок-валиків
32552400-1,32552400-1,Пристрої перетворення сигналів звукових частот
32572300-6,32572300-6,Спеціальні комунікаційні кабелі
34327000-5,34327000-5,"Керма, кермові колонки та кермові механізми"
30213000-5,30213000-5,Персональні комп’ютери
42990000-2,42990000-2,Машини спеціального призначення різні
42416130-5,42416130-5,Механічні підіймачі
34352300-2,34352300-2,Шини для сільськогосподарської техніки
39221000-7,39221000-7,Кухонне приладдя
30195400-6,30195400-6,Маркерні дошки чи приладдя
42943700-5,42943700-5,Нагрівальні циркулятори
32324000-0,32324000-0,Телевізори
39370000-6,39370000-6,Водопровідне обладнання
34922000-6,34922000-6,Обладнання для нанесення дорожньої розмітки
34941100-6,34941100-6,Стрижні
42973000-7,42973000-7,Частини машин для наповнювання
30216130-6,30216130-6,Сканери штрих-кодів
32342430-5,32342430-5,Системи стиснення голосових даних
39143100-7,39143100-7,Меблі для спальні
39720000-5,39720000-5,Неелектричні побутові прилади
30124200-6,30124200-6,Комплекти термофіксаторів
16000000-5,16000000-5,Сільськогосподарська техніка
34114000-9,34114000-9,Транспортні засоби спеціального призначення
39831220-4,39831220-4,Знежирювальні засоби
34962100-9,34962100-9,Обладнання для командно-диспетчерських пунктів
42132200-5,42132200-2,Частини кранів
30232000-4,30232000-4,Периферійне обладнання
42122500-5,42122500-2,Лабораторні насоси та приладдя до них
42141120-6,42141120-3,Розподільні вали
34142300-7,34142300-7,Вантажні автомобілі-самоскиди
42674000-1,42674000-1,Частини та приладдя до металообробних верстатів
30197120-3,30197120-3,Кнопки
42621100-6,42621100-6,Токарні верстати з числовим програмним керуванням
42954000-8,42954000-8,Частини валкових машин
39721300-5,39721300-5,Неелектричні повітронагрівачі чи розподільники гарячого повітря
39234000-1,39234000-1,Ящики для компосту
39531100-4,39531100-4,В’язані килими
39711361-7,39711361-7,Електричні печі
34992100-8,34992100-8,Підсвічувані дорожні знаки
42131144-7,42131144-4,Клапани регулювання процесів
32581210-4,32581210-4,Частини факсимільного обладнання та приладдя до нього
32354120-6,32354120-6,Діазоплівка
39525500-3,39525500-3,Москітні сітки
34115000-6,34115000-6,Інші легкові автомобілі
42121500-8,42121500-5,Пневматичні мотори
30199300-3,30199300-3,Тиснений або перфорований папір
42716200-0,42716200-0,Сушильні машини
42416000-5,42416000-5,"Підіймальні пристрої, скіпові підіймачі, підіймачі, ескалатори та пасажирські конвеєри"
30213500-0,30213500-0,Кишенькові комп’ютери
34514800-1,34514800-1,Стаціонарні морські платформи
39120000-9,39120000-9,"Столи, серванти, письмові столи та книжкові шафи"
39141200-4,39141200-4,Стільниці
39515400-9,39515400-9,Жалюзі
42634000-9,42634000-9,Кувальні машини
30194100-6,30194100-6,Лекала
34311100-1,34311100-1,Двигуни внутрішнього згоряння для мототранспортних засобів і мотоциклів
39290000-1,39290000-1,Фурнітура різна
39221100-8,39221100-8,Посуд
34512200-1,34512200-1,Круїзні судна
32580000-2,32580000-2,Інформаційне обладнання
39151100-6,39151100-6,Стелажі
42161000-5,42161000-2,Водонагрівальні бойлери
42972000-0,42972000-0,Частини очисних машин
39153100-0,39153100-0,Книжкові стенди
42200000-8,42200000-8,"Машини для обробки продуктів харчування, виробництва напоїв та обробки тютюну"
39172100-9,39172100-9,Прилавки обслуговування
30121420-3,30121420-3,Офісні комбайни
42113000-4,42113000-1,Частини турбін
39711310-5,39711310-5,Електричні кавоварки
42533000-1,42533000-1,Частини теплових насосів
34115200-8,34115200-8,Мототранспортні засоби для перевезення менше 10 осіб
32429000-6,32429000-6,Обладнання для телефонних мереж
42131141-6,42131141-3,Редукційні клапани
42996000-4,42996000-4,Машини для очищення стічних вод
39221130-7,39221130-7,Контейнери для харчових продуктів
34999200-8,34999200-8,Розподільники антенних сигналів
30199120-7,30199120-7,Самокопіювальний папір
34992200-9,34992200-9,Дорожні знаки
30191120-1,30191120-1,Журнальні стенди
39541210-1,39541210-1,В’язані сітки
34962200-0,34962200-0,Диспетчерське обладнання для керування повітряним рухом
30213200-7,30213200-7,Планшетні комп’ютери
39143200-8,39143200-8,Меблі для їдальні
30000000-9,30000000-9,"Офісна та комп’ютерна техніка, устаткування та приладдя, крім меблів та пакетів програмного забезпечення"
42931130-1,42931130-1,Вкладки для центрифуг
32540000-0,32540000-0,Комутаційні щити
42214100-0,42214100-0,Кухонні печі
30237250-6,30237250-6,Засоби для очищення комп’ютерного обладнання
