cpv,cav,name
42123600-3,42123600-0,Поршневі об’ємні компресори
32323200-5,32323200-5,Монохромні відеомонітори
34951200-0,34951200-0,Обладнання для відкачування мулу
42924310-5,42924310-5,Пістолети-розпилювачі
32260000-3,32260000-3,Обладнання для передавання даних
34992300-0,34992300-0,Вуличні знаки
42716120-5,42716120-5,Пральні машини
34997000-2,34997000-2,"Регулювальне, запобіжне чи сигнальне аеропортове обладнання"
39298000-7,39298000-7,"Статуетки, оздоби; рамки для фотографій і картин та дзеркала"
39143210-1,39143210-1,Столи для їдальні
39561000-2,39561000-2,"Тюль, мереживо, вузькі тканини, оздоблювальні матеріали та вишиті вироби"
42112100-8,42112100-5,Парові турбіни
34928230-9,34928230-9,Шумоізоляційні огорожі
42999100-6,42999100-6,Промислові пилососи
34940000-8,34940000-8,Залізничне обладнання
39121100-7,39121100-7,Письмові столи
42122200-2,42122200-9,Поршневі нагнітачі для рідин
39111300-6,39111300-6,Крісла-катапульти
34512000-9,34512000-9,Пасажирські та вантажні кораблі та подібні судна
39224200-0,39224200-0,Щітки
34140000-0,34140000-0,Великовантажні мототранспортні засоби
16720000-8,16720000-8,"Трактори, що були у використанні"
39561142-9,39561142-9,Еполети
42214000-9,42214000-9,"Кухонні печі, сушарки для сільськогосподарських продуктів та обладнання для готування чи підігрівання їжі"
42962000-7,42962000-7,Друкарське та графічне обладнання
32342420-2,32342420-2,Студійні мікшувальні пульти
34711100-5,34711100-5,Літаки
34922100-7,34922100-7,Дорожня розмітка
42000000-6,42000000-6,Промислова техніка
39525000-8,39525000-8,Готові текстильні вироби різні
42110000-3,42110000-0,Турбіни та мотори
42673000-4,42673000-4,Ділильні голівки для верстатів
42962400-1,42962400-1,Гектографи
30194810-6,30194810-6,Рейсшини
16530000-9,16530000-9,Сільськогосподарські самонавантажувальні напівпричепи
39831100-7,39831100-7,Диспергатори
34731100-1,34731100-1,Двигуни для повітряних літальних апаратів
30237460-1,30237460-1,Комп’ютерні клавіатури
42132300-6,42132300-3,Частини клапанів
30232100-5,30232100-5,Принтери та плотери
34928420-8,34928420-8,Сигнальні ліхтарі
32522000-8,32522000-8,Телекомунікаційне обладнання
30237330-1,30237330-1,Картриджі цифрової аудіострічки (DAT-картриджі)
32344220-4,32344220-4,Радіопейджери
34913400-4,34913400-4,Автомобільні годинники
39531000-3,39531000-3,Килимові покриття
30199340-5,30199340-5,Нерозрізні бланки
39143121-0,39143121-0,Гардеробні шафи
39712100-7,39712100-7,Машинки для стрижки волосся
30237310-5,30237310-5,Шрифтові картриджі для принтерів
39812100-8,39812100-8,Поліролі для підлоги
30124500-9,30124500-9,Приладдя до сканерів
34945000-3,34945000-3,Обладнання для рихтування колій
30236200-4,30236200-4,Обладнання для обробки даних
